Caste,subcastes,source
BHANBHUNIYA,['BHANBHUNIYA'],mf
BHAND,['BHAND'],mf
BHANDARI,"['KSHWRIKA', 'CHASA', 'RADHI', 'NAPITA', 'NAIK', 'SATAGHARIA', 'BHANDARI']",mf_shadi
BHANGI,"['BHANGI', 'LALBEGI', 'BALMIK', 'BARWASIA', 'RUKHI', 'RUSHI', 'ZADMALLI', 'ZAMPDA', 'BAKSHI PANCH', 'UPADHAYAY', 'JAMPHODA', 'OLGANA', 'BARWASHIA', 'CHURA', 'VALMIKI', 'BALMIKI', 'DHARKAR', 'KORAR', 'MALKANA', 'HELA', 'ZAMPADA', 'MEHTAR', 'HALALKHOR']",mf
BHANJA PURAN,['BHANJA PURAN'],gov
BHANJRA,"['BHANJRE', 'BHANJRA']",gov
BHANTA,['BHANTA'],gov
BHANUMATI,['BHANUMATI'],gov
BHANUSHAIL,"['KACHHI', 'BHANUSHAIL']",mf
BHAR,"['RAJBHAR', 'BHAR', 'RAY', 'RAI']",mf
BHARADI BALASANTOSHI,"['NATH PANDHI', 'BHARADI BALASANTOSHI', 'KINGGRIWALE', 'NATH BAVA', 'NATH JOGI', 'DAVARI GOSAVI']",gov
BHARAIK,['BHARAIK'],gov
BHARATHAR,"['BHARATHAR', 'PARAVAN']",gov
BHARBHOOJA,"['BHARBHUJA', 'KANU', 'BHARBHOOJA']",mf
BHARBHUNJA,"['BHARBHOOJA', 'BHARBHURIA', 'BHARBHUNJA', 'BHARBUNHA', 'BHARBHUJA', 'BHURJI']",gov
BHARDI,"['BHARGI', 'BHARDI']",gov
BHARIA BHUMIA,"['BHUINHAR BHUMIA', 'PALIHA', 'PANDO', 'BHARIA', 'BHARIA BHUMIA', 'BHUMIYA']",gov
BHARUD,"['YADAV', 'DHANGAR', 'BHARUD', 'DHANKAR', 'BHAROOD']",mf
BHARWAD,"['CHOTABHAI', 'BHARWAD', 'DHANGAR', 'MOTABHAI', 'MOTA BHAI', 'GADARIA', 'LAKHA', 'NANABHAI', 'GOLTAR', 'BHARVAD']",gov
BHASKAR,['BHASKAR'],gov
BHAT,"['BHATTA', 'BHATT', 'RAMIYA', 'BHATRA', 'BHAT', 'ACHARYA', 'MIRASI', 'SHARMA', 'DARPI']",mf
BHAT CHARAN SAWLI,"['BHAT CHARAN SAWLI', 'BHAT CHARAN SALWI', 'SUTIYA RAV JASONDHI MARU-SONIA']",gov
BHAT RAJU,"['MUTHU RAJA', 'BHAT RAJU']",gov
BHATA,['BHATA'],gov
BHATERA,"['BHATERA', 'YOGI']",mf
BHATHIARA,"['BHATHIARA', 'BHATIARA', 'BHATIYARA']",gov
BHATRAJU,['BHATRAJU'],jeevansathi
BHATTA,['BHATTA'],gov
BHATTI,['BHATTI'],mf
BHATTRA,['BHATTRA'],gov
BHATTU,"['BHATTU', 'CHATTTU']",gov
BHATUA,['BHATUA'],gov
BHATUS,['BHATUS'],gov
BHAVIN,['BHAVIN'],gov
BHAWASAR,['BHAWASAR'],gov
BHEDKUT,"['MANESH', 'BHEDKUT']",gov
BHIL,"['DHOLI BHIL', 'PAWRA', 'MEENA', 'VASAVA', 'TADVI BHIL', 'BHIL GARASIA', 'BHILALA', 'GAMETIA', 'BHAGALIA', 'DUNGRI GARASIA', 'MEWASI BHIL', 'RAWAL BHIL', 'VASAVE', 'BARELA', 'DUNGRI BHIL', 'PATELIA', 'BHIL', 'DHOLIBHIL']",mf_jeevansathi
BHIL MEENA,"['BHIL MEENA', 'BHIL MINA']",gov
